judge_id,item_id,rank
2,53,54
2,72,55
2,71,56
2,57,57
2,25,58
2,45,59
2,51,60
2,47,61
2,78,61
2,27,63
2,44,64
2,55,65
2,66,65
2,63,67
2,73,68
2,65,68
2,58,70
2,74,71
2,81,72
2,75,73
2,94,74
2,62,75
2,59,76
2,79,77
2,80,78
2,87,79
2,64,79
2,96,81
2,116,82
2,91,83
2,67,84
2,125,85
2,93,85
2,69,87
2,98,88
2,135,88
2,106,90
2,103,90
2,108,92
2,83,93
2,121,94
2,109,95
2,100,96
2,119,96
2,99,98
2,76,98
2,128,100
2,112,101
2,130,101
2,90,101
2,111,101
2,82,105
2,88,105
2,85,107
2,102,107
2,86,107
2,132,107
2,104,107
2,95,112
2,84,113
2,114,113
2,146,115
2,126,115
2,89,117
2,147,117
2,101,117
2,107,120
2,162,120
2,97,120
2,105,120
2,141,124
2,124,125
2,149,125
2,140,125
2,77,125
2,168,125
2,145,125
2,129,131
2,152,131
2,154,131
2,115,131
2,113,135
2,151,135
2,122,137
2,117,137
2,123,137
2,159,137
2,110,137
2,153,137
2,170,143
2,158,143
2,142,143
2,127,146
2,155,146
3,5,1
3,0,2
3,2,3
3,24,4
3,15,5
3,10,6
3,3,7
3,8,8
3,35,9
3,19,10
3,4,10
3,1,12
3,18,13
3,9,14
3,12,15
3,7,16
3,22,17
3,6,18
3,33,19
3,13,20
3,21,21
3,16,22
3,42,23
3,50,24
3,25,25
3,20,25
3,14,27
3,53,28
3,27,29
3,54,30
3,34,31
3,88,31
3,71,33
3,23,33
3,11,35
3,28,36
3,46,37
3,30,38
3,17,38
3,51,38
3,64,41
3,36,42
3,44,43
3,38,44
3,43,45
3,92,46
3,89,47
3,29,47
3,47,49
3,62,50
3,55,51
3,61,51
3,69,53
3,37,54
3,26,55
3,58,55
3,77,57
3,59,58
3,45,59
3,56,59
3,49,61
3,48,62
3,63,63
3,31,64
3,32,65
3,85,66
3,40,67
3,39,68
3,82,69
3,98,69
3,52,71
3,41,72
3,90,72
3,57,74
3,99,75
3,84,76
3,106,77
3,138,77
3,111,77
3,70,80
3,67,81
3,113,81
3,122,83
3,73,83
3,91,85
3,95,85
3,100,87
3,86,88
3,68,88
3,65,88
3,150,91
3,94,91
3,107,91
3,74,91
3,83,95
3,116,96
3,124,96
3,76,96
3,97,96
3,154,100
3,166,100
3,104,100
3,109,103
3,136,103
3,118,103
3,78,103
3,110,103
3,66,103
3,103,103
3,121,103
3,119,103
3,145,103
3,128,113
3,129,113
3,120,113
3,80,113
3,114,113
3,96,113
3,165,113
3,112,120
3,137,120
3,141,120
3,143,120
3,75,120
3,155,120
3,81,120
3,174,120
4,1,1
4,2,2
4,11,3
4,8,4
4,0,5
4,37,6
4,29,7
4,21,8
4,7,9
4,20,10
4,62,11
4,13,12
4,17,13
4,22,13
4,27,15
4,43,16
4,63,16
4,38,18
4,9,19
4,3,20
4,19,21
4,4,22
4,32,23
4,12,24
4,46,25
4,56,25
4,5,27
4,25,28
4,58,28
4,41,30
4,51,31
4,23,32
4,16,33
4,39,34
4,34,35
4,54,35
4,91,37
4,48,37
4,79,39
4,10,39
4,49,41
4,47,42
4,28,42
4,31,42
4,40,45
4,52,45
4,36,47
4,84,48
4,57,48
4,6,50
4,53,50
4,30,52
4,96,52
4,33,52
4,83,55
4,89,56
4,86,57
4,77,57
4,75,57
4,26,57
4,93,61
4,55,61
4,15,61
4,59,64
4,67,65
4,73,65
4,45,67
4,80,67
4,44,67
4,101,67
4,87,71
4,122,72
4,35,72
4,115,72
4,18,72
4,60,72
4,69,77
4,82,77
4,99,77
4,103,77
4,108,77
4,64,77
4,78,83
4,70,83
4,97,83
4,72,86
4,102,86
4,98,86
4,140,86
4,61,86
4,112,91
4,120,91
4,150,91
4,74,91
4,92,95
4,68,95
4,14,95
4,95,95
4,85,99
4,129,99
4,158,99
4,65,99
4,94,99
4,110,99
4,107,99
4,141,99
4,171,99
4,88,99
4,143,99
4,166,99
4,157,111
4,76,111
4,90,111
4,119,111
4,172,111
4,155,111
4,167,111
4,104,111
4,81,111
4,116,120
4,109,120
4,130,120
